Valentino's Pizzeria & Restaurant, 71-47 Kissena Blvd, Queens, NY 11367, 718-514-2943
Parmagianni, 212 N Long Beach Rd, Rockville Centre, NY 11570, 516-494-4346
Vulcano 081, 43 N Village Ave, Rockville Centre, NY 11570, 516-882-5427
Dodici, 12 N Park Ave, Rockville Centre, NY 11570, 516-460-9864
Mother Kelly's, 171 Maple Ave, Rockville Centre, NY 11570, 516-309-4856
Front Street Pizzeria, 49 Front St #A, Rockville Centre, NY 11570, 516-331-5702
Nick's, 272 Sunrise Hwy, Rockville Centre, NY 11570, 516-219-1997
Gino's Pizzeria & Italian Restaurant, 187 N Long Beach Rd A, Rockville Centre, NY 11570, 516-387-9742
Luigi's Italian Cuisine, 421 N James St, Rome, NY 13440, 315-897-5349
Luigi's Pizza 2, 8963 Turin Rd, Rome, NY 13440, 315-897-5613
Dicastro's Brick Oven Pizza, 615 Erie Blvd W, Rome, NY 13440, 315-897-5081
La Roma Pizzeria & Restaurant, 600 Floyd Ave, Rome, NY 13440, 315-860-1058
Grande's Pizzeria, 1111 Floyd Ave, Rome, NY 13440, 315-897-5091
Best Chinese Food, 233 E Dominick St, Rome, NY 13440, 315-897-5150
Boyz From Italy, 262 W Dominick St, Rome, NY 13440, 315-897-5496
The Garage Pizzeria, 1701 N James St, Rome, NY 13440, 315-897-5217
Vigneto Bar Grill, 229 E Dominick St, Rome, NY 13440, 315-897-5142
Tony's on Jay, 501 N Jay St, Rome, NY 13440, 315-897-5455
Albert's Pizza, 601 Portion Rd, Ronkonkoma, NY 11779, 631-619-2378
Mangiamo, 600 Portion Rd, Ronkonkoma, NY 11779, 631-337-8277
Paisanos Pizza & Catering, 708 Portion Rd, Ronkonkoma, NY 11779, 631-496-1141
Slices & Ices Pizzeria, 27 Railroad Ave, Ronkonkoma, NY 11779, 631-693-5351
Pop's Pizza, 1021 Portion Rd, Ronkonkoma, NY 11779, 631-336-2762
Morellis Pizza & Gyros, 2402 Ocean Ave , Ronkonkoma, NY 11779, 631-467-2625
Royal Pizza, 299 Hawkins Ave, Ronkonkoma, NY 11779, 631-257-3714
Sophia's Pizza Cafe, 2060 Ocean Ave, Ronkonkoma, NY 11779, 631-619-2389
Pizza Stop, 1020 Portion Rd, Ronkonkoma, NY 11779, 631-203-1292
Eddie's Pizza And Restaurant, 163 Ronkonkoma Ave, Ronkonkoma, NY 11779, 631-202-1716
Attilio's Pizza, 96 Mineola Ave, Roslyn Heights, NY 11577, 516-331-5804
Toskana Pizzeria Restaurant, 295 Warner Ave, Roslyn Heights, NY 11577, 516-252-3385
Carlo's Pizza Of Roslyn, 350 Roslyn Rd, Roslyn Heights, NY 11577, 516-726-9963
Valtori Pizza Kitchen, 1004 Boston Post Rd, Rye, NY 10580, 914-221-1284
Al Dente Pizzeria & Restaurant, 7 Elm Pl, Rye, NY 10580, 914-825-4246
Rafele Rye, 26 Purchase St, Rye, NY 10580, 914-340-0526
Piazza Pizzeria, 520 Milton Rd, Rye, NY 10580, 914-825-5143
Sunrise Pizzeria, 7 Purdy Ave, Rye, NY 10580, 914-312-4599
Belluscio's Restaurant, 352 Midland Ave, Rye, NY 10580, 914-313-8450
Espresso Da Asporto, 2 Main St, Sag Harbor, NY 11963, 631-237-9773
Sag Pizza, 103 Main St, Sag Harbor, NY 11963, 631-237-9511
American Pie Pizzeria, 2044 Montauk Hwy, Sag Harbor, NY 11963, 631-237-9436
Cappelletti, 3284 Noyack Rd, Sag Harbor, NY 11963, 631-237-9552
I Love New York Pizza, 26 Congress St, Saratoga Springs, NY 12866, 518-430-5776
Taverna Novo, 62 Beekman St, Saratoga Springs, NY 12866, 518-430-5761
Esperanto, 4 Caroline St, Saratoga Springs, NY 12866, 518-430-5204
Beer Wine Pizza, 70 Weibel Ave, Saratoga Springs, NY 12866, 518-490-4629
Marino's Pizza, 46 W Circular St, Saratoga Springs, NY 12866, 518-490-4891
Pope's Pizza, 232 Washington St, Saratoga Springs, NY 12866, 518-490-4238
Gennaro's Pizza Parlor, 46 Marion Ave, Saratoga Springs, NY 12866, 518-510-0950
Harvest & Hearth, 251 Co Rd 67, Saratoga Springs, NY 12866, 518-344-0620
Caputo's Pizzeria Saratoga, 3039 Route 50, Saratoga Springs, NY 12866, 518-430-5662
Spring Street Deli & Pizzeria, 132 Spring St, Saratoga Springs, NY 12866, 518-490-4557
Bella Luna, 124 Partition St, Saugerties, NY 12477, 845-217-3190
Slices, 71 Partition St, Saugerties, NY 12477, 845-251-4735
Federico's, 330 NY-212, Saugerties, NY 12477, 845-443-7220
Two Brothers Deli & Pizza, 2962 NY-32, Saugerties, NY 12477, 845-209-0402
The Starway Restaurant, 346 NY-212, Saugerties, NY 12477, 845-209-0411
Hungry Bambino's Pizza, 11 Simmons Plaza, Saugerties, NY 12477, 845-318-1185
Village Pizzeria, 284 Main St, Saugerties, NY 12477, 845-209-0867
Pizza Star, 346 NY-212, Saugerties, NY 12477, 845-253-5600
Mirabellas, 123 Partition St, Saugerties, NY 12477, 845-209-1808
Sayville Pizza, 60 N Main St, Sayville, NY 11782, 631-998-7032
Eli Pizzeria, 158 Lakeland Ave, Sayville, NY 11782, 631-651-6055
Butera's of Sayville, 100 Main St, Sayville, NY 11782, 631-201-0388
Sal's Pizza, 183 W Main St, Sayville, NY 11782, 631-203-1702
Umberto's Of Sayville, 37 N Main St, Sayville, NY 11782, 631-823-7068
Wood & Fire, 118 Brook St, Scarsdale, NY 10583, 914-313-3528
Slice of Scarsdale, 58 Garth Rd, Scarsdale, NY 10583, 914-380-7802
Scarsdale Pizza Station, 844 Scarsdale Ave, Scarsdale, NY 10583, 914-449-4310
Pizzarelli's, 8 Depot Pl, Scarsdale, NY 10583, 914-902-5970
Amore Pizza, 1479 Weaver St, Scarsdale, NY 10583, 914-315-7472
Lange's of Scarsdale, 57 Spencer Pl, Scarsdale, NY 10583, 914-221-7660
Happy Days Pizza Place, 829 Post Rd, Scarsdale, NY 10583, 914-750-6614
Pizza & Brew Scarsdale, 851 Central Park Ave, Scarsdale, NY 10583, 914-279-1952
Gennaros Pizza & Pasta, 759 Central Park Ave, Scarsdale, NY 10583, 914-313-8680
Cusato's Pizza, 1700 Altamont Ave, Schenectady, NY 12303, 518-363-7385
Roman's Pizzeria and Deli, 7 Old Mariaville Rd, Schenectady, NY 12306, 518-500-4788
High Bridge Pizzeria, 1262 Highbridge Rd, Schenectady, NY 12303, 518-363-6939
I Love NY Pizza, 1705 Union St, Schenectady, NY 12309, 518-346-7272
Marotta's Pizza & Catering, 2530 Albany St, Schenectady, NY 12304, 518-730-4147
Brandywine Gyro House Pizza, 881 Albany St, Schenectady, NY 12307, 518-730-4862
Home Style Pizza, 1720 Union St, Schenectady, NY 12309, 518-730-4964
Lorenzo's Cafe, 1500 State St, Schenectady, NY 12304, 518-372-2219
Sicilian Pizzeria, 1505 Van Vranken Ave, Schenectady, NY 12308, 518-374-0185
Our Original Pizzeria, 1200 Crane St, Schenectady, NY 12303, 518-400-3519
Visco Vley Road Pizzeria, 149 Vley Rd, Scotia, NY 12302, 518-692-6174
5th & 50 Pizzeria, 279 N Ballston Ave, Scotia, NY 12302, 518-500-4022
Carm's, 140 Freemans Bridge Rd, Scotia, NY 12302, 518-501-1318
Giovanni's Pizza, 138 Albermarle Rd, Scotia, NY 12302, 518-501-1609
Gino's of Seaford, 3535 Merrick Rd Kenmore Center Ct, Seaford, NY 11783, 516-595-0031
Mario's Pizzeria, 3842 Sunrise Hwy, Seaford, NY 11783, 516-366-3361
Rosario's Pizzeria, 2140 Jackson Ave, Seaford, NY 11783, 516-874-2058
Za Late Night Pizzeria, 3601 Merrick Road, Seaford, NY 11783, 516-219-1921
Brooklyn Square Pizza, 3620 Merrick Rd, Seaford, NY 11783, 516-366-2312
Pappalardo Pizza Cove, 1079 Hicksville Rd, Seaford, NY 11783, 516-265-7068
Selden Pizza, 39 College Plaza, Selden, NY 11784, 631-405-7504
Narducci's Pizzeria & Restaurant, 638 Middle Country Rd, Selden, NY 11784, 631-732-3845
Zara's Pizza & Restaurant, 365 Boyle Rd, Selden, NY 11784, 631-496-1081
Slice's Pizza, 1198 Middle Country Rd, Selden, NY 11784, 631-284-8741
Café Amici, 353 Independence Plaza, Selden, NY 11784, 631-815-7686
Sal Anthonys Il, 980 Middle Country Rd, Selden, NY 11784, 631-203-1625
Boccone Pizza Restaurant, 229 Middle Country Rd, Selden, NY 11784, 631-880-4324
Vincent's Pizza, 44D Surrey Cir, Shirley, NY 11967, 631-438-8441
Romano's Pizza, 55 Surrey Cir, Shirley, NY 11967, 631-212-2964
Savarona Pizzeria & Restaurant, 999 Montauk Hwy, Shirley, NY 11967, 631-904-7673
Carlo's Pizza, 451 Glen Dr, Shirley, NY 11967, 631-576-4839
Nonna Mia Pizza, 800 Montauk Hwy, Shirley, NY 11967, 631-869-4234
Joe's Pizza, 433 William Floyd Pkwy, Shirley, NY 11967, 631-496-1662
Calabria Pizza & Pasta, 3681 Old Yorktown Rd, Shrub Oak, NY 10588, 914-313-8565
Francesca's Pizza & Pasta, 1356 E Main St, Shrub Oak, NY 10588, 914-221-1343
Pizza Pizzazz, 966 E Main St, Shrub Oak, NY 10588, 914-502-2051
Gilda's Skaneateles, 12 W Genesee St, Skaneateles, NY 13152, 315-888-4247
Valentine's Delicatessen, 18 W Genesee St, Skaneateles, NY 13152, 315-888-5113
Mike's Pizzeria, 1388 E Genesee St, Skaneateles, NY 13152, 315-888-5753
Buona Sera, 88 E Main St, Smithtown, NY 11787, 631-265-0625
Don Jono's Pizzeria Restaurant, 975 W Jericho Tpke, Smithtown, NY 11787, 631-815-7684
Corino's Artisan Pizzeria, 60 Terry Rd, Smithtown, NY 11787, 631-305-4540
Ciro's Pizza, 546 Smithtown Bypass, Smithtown, NY 11787, 631-212-3178
Bonappetito Pizzeria and Ristorante, 345 Terry Rd, Smithtown, NY 11787, 631-904-7666
Three Bambino's Pizzeria, 385 Veterans Memorial Hwy, Smithtown, NY 11787, 631-212-0203
Giorgios, 224 Smithtown Blvd, Smithtown, NY 11787, 631-202-1993
Manninos Pizza, 40 E Main St, Smithtown, NY 11787, 631-813-4713
Monte Pizzeria, 300 Maple Ave, Smithtown, NY 11787, 631-449-7362
Froggy's Pizza & Pasta, 253 NY-100, Somers, NY 10589, 914-301-5278
Il Forno Italian Kitchen & Bar, 343 US-202, Somers, NY 10589, 914-331-0997
Fratelli's Pizza & Pasta, 1 Heritage Hills 202 Ctr, Somers, NY 10589, 914-800-7911
Melrose East Restaurant & Pizza, 801 County Rd 39, Southampton, NY 11968, 631-318-4189
Cafe Crust, 850 County Road 39, Southampton, NY 11968, 631-284-8442
P & G Pizza & Grill, 20 Country Rd 39, Southampton, NY 11968, 631-237-9423
The Deli Counter, 623 Hampton Rd, Southampton, NY 11968, 631-237-9901
Porco's Country Deli & Pizzeria, 926 Noyack Road, Southampton, NY 11968, 631-354-5056
Paul's Italian Amer Kitchen, 21 Hill St, Southampton, NY 11968, 631-353-7624
Pontillo's Pizzeria, 500 S Union St, Spencerport, NY 14559, 585-252-5962
Perri's Pizzeria, 1835 N Union St, Spencerport, NY 14559, 585-366-8670
Krony's Pizzeria, 2139 N Union St, Spencerport, NY 14559, 585-366-8810
Pizza Shack I, 5008 W Ridge Rd, Spencerport, NY 14559, 585-366-8682
Deliziosa Pizzeria & Restaurant, 25 Spring Valley Market Pl, Spring Valley, NY 10977, 845-671-3329
Da Vincis Restaurant, 800 Chestnut Ridge Rd, Spring Valley, NY 10977, 845-400-8026
Peppe's Pizzeria & Restaurant, 312 N Main St, Spring Valley, NY 10977, 845-237-3431
Tim & Bonnies Pizza, 385 S Cascade Dr, Springville, NY 14141, 716-321-2841
Main Street Pizza & Cafe, 56 E Main St, Springville, NY 14141, 716-217-6790
Julie's Pizzeria & Restaurant, 1230 12 E Main St, Springville, NY 14141, 716-321-2959
Lorenzo's Pizza, 600 Middle Country Rd, St James, NY 11780, 631-360-6600
Rocco's Pizza & Pasta, 429 NY-25A, St James, NY 11780, 631-239-3128
Caligiuri's Patio Pizza, 262 Lake Ave, St James, NY 11780, 631-699-2787
Basil Cucina & Catering, 1686 Forest Ave, Staten Island, NY 10302, 718-717-1194
Towne Deli & Pizza, 5373 Arthur Kill Rd, Staten Island, NY 10307, 718-705-4338
Joe & Pat's Pizzeria, 1758 Victory Blvd, Staten Island, NY 10314, 718-981-0887
A & S Pizza Restaurant, 87 Stuyvesant Place, Staten Island, NY 10301, 917-791-2146
Village Maria Pizza II, 768 Manor Road, Staten Island, NY 10314, 732-479-4057
Brooklyn's Finest Pizza, 1250 Hylan Blvd, Staten Island, NY 10305, 917-300-0161
Ciro Pizza Cafe, 862 Huguenot Ave, Staten Island, NY 10312, 718-605-0620
Frank's Bay Pizza, 117 Broad St, Staten Island, NY 10304, 732-709-2804
Rossville Pizza, 960 Bloomingdale Rd, Staten Island, NY 10309, 718-831-6501
Ti Amo Pizza, 3555 Victory Blvd, Staten Island, NY 10314, 718-477-0007
Fratelli's Italian Eatery, 77 Main St, Stony Brook, NY 11790, 631-776-4547
Stony Brook Pizza, 2460 Nesconset Hwy Ste 10, Stony Brook, NY 11790, 631-203-1941
Station Pizza & Brew, 1099 N Country Rd G, Stony Brook, NY 11790, 631-352-0409
O Sole Mio, 2194 Nesconset Hwy, Stony Brook, NY 11790, 631-904-7166
Pizzarena, 67 S Liberty Dr, Stony Point, NY 10980, 845-622-3587
Lane Deli & Pizza, 79 Washburns Ln, Stony Point, NY 10980, 845-762-0279
Paradise Pizzeria, 160 N Liberty Dr Ste 8, Stony Point, NY 10980, 845-694-4198
Il Villaggio Pizza, 75 Lafayette Ave, Suffern, NY 10901, 845-538-4104
B-Balls Meatballs, 28 Prairie Ave, Suffern, NY 10901, 845-213-1260
Joey's Gourmet Italian Restaurant & Pizza, 250 NY-59 #110, Suffern, NY 10901, 845-547-7176
Forgia Brick Oven Pizzeria, 1 Suffern Pl, Suffern, NY 10901, 845-977-0567
Pasquale Pizzeria & Restaurant, 39 Lafayette Ave, Suffern, NY 10901, 845-241-8776
Spicy Pizza, 43-22 43rd Ave, Sunnyside, NY 11104, 718-701-8799
Crust NYC, 39-09 47th Ave, Sunnyside, NY 11104, 929-424-3300
Marabella Pizza Restaurant, 4107 Greenpoint Ave, Sunnyside, NY 11104, 718-786-4635
Mangal Kebab, 46-20 Queens Blvd, Sunnyside, NY 11104, 347-472-1104
La Bella Pizzeria, 47-06 Greenpoint Ave, Sunnyside, NY 11104, 347-472-1308
Uncle Jimmy's Pizzeria, 41-10 49th St, Sunnyside, NY 11104, 347-242-5653
Oasis Pizza & Gyros, 40-02 Queens Blvd, Sunnyside, NY 11104, 646-571-0525
Philomena's, 41-16 Queens Blvd, Sunnyside, NY 11104, 717-210-5208
Marabella, 4107 Greenpoint Ave, Sunnyside, NY 11104, 917-336-9497
Lenny's Pizza, 44-08 Greenpoint Ave, Sunnyside, NY 11104, 917-905-7689
Mario's Pizzeria, 326 Jericho Tpke, Syosset, NY 11791, 516-336-4258
Cousins Pizza & Pasta, 92 Jackson Ave, Syosset, NY 11791, 516-494-4012
Mother Kelly's, 575 Underhill Blvd, Syosset, NY 11791, 516-219-9092
Cafe Testarossa, 499 Jericho Tpke, Syosset, NY 11791, 516-986-0102
Rachel's Cafe, 57 Berry Hill Rd, Syosset, NY 11791, 516-494-3358
Lia's Pizzeria, 567 Jericho Tpke, Syosset, NY 11791, 516-701-3288
Phil's, 265 Jericho Tpke, Syosset, NY 11791, 516-494-3024
Pavone's Pizza, 500 Butternut St, Syracuse, NY 13208, 315-565-6702
Johnny Mac's Pizzeria & Deli, 894 State Fair Blvd, Syracuse, NY 13209, 315-930-0874
Champ's Pizzeria & Fish Fry, 1711 W Genesee St, Syracuse, NY 13204, 315-640-4164
Peppino's Pizzeria, 1849 Grant Blvd, Syracuse, NY 13208, 315-350-3474
NY Gianni's Bronx Style Pizza, 1428 Burnet Ave, Syracuse, NY 13206, 315-505-4029
Liberty Pizza, 200 S Main St Route 11, Syracuse, NY 13212, 315-766-2630
Acropolis Pizza House, 167 Marshall St, Syracuse, NY 13210, 315-766-2267
Sabatinos Pizza Deli & Grocery, 1000 S Geddes St, Syracuse, NY 13204, 315-497-6869
Sabatino's Pizza & Deli, 121 Ballantyne Rd, Syracuse, NY 13205, 315-897-5509
Pizzaz Pizza, 1916 South Ave, Syracuse, NY 13207, 315-277-4084
Monte's Brick Oven, 136 Alexander Ave, The Bronx, NY 10454, 718-942-5575
El Biscochito, 967 E 167th St, The Bronx, NY 10459, 718-842-1700
Lil' Dudes Pizzeria, 2539 Webster Ave, The Bronx, NY 10458, 718-733-6009
Pete's Cafe, 570 E Fordham Rd #1, The Bronx, NY 10458, 717-276-8612
Bella Napoli Pizzeria, 524 E 240th St, The Bronx, NY 10470, 717-276-8759
Johnny's Pizza Diner, 535 E 180th St, The Bronx, NY 10457, 712-227-5833
Side By Side Pizza, 769 Astor Ave, The Bronx, NY 10467, 917-905-7674
Jerry's Pizza, 3430 Boston Rd, The Bronx, NY 10469, 917-905-7648
The Pizza Block, 5677 Riverdale Ave, The Bronx, NY 10471, 712-350-8791
My Place Family Pizza, 240 E 198th St, The Bronx, NY 10458, 718-747-9573
Thornwood Pizza & Pasta, 808 Commerce St, Thornwood, NY 10594, 914-499-0733
Modern Slice, 57 Kensico Rd, Thornwood, NY 10594, 914-449-4125
Silvio's Ristorante & Pizzeria, 628 Columbus Ave, Thornwood, NY 10594, 914-449-4299
Dino's Pizzeria, 925 Broadway, Thornwood, NY 10594, 914-326-2443
Italia Brick Oven Pizzeria and Restaurant, 1010 Broadway, Thornwood, NY 10594, 914-326-2633
Fletcher's Kitchen, 412 Fletcher St, Tonawanda, NY 14150, 716-271-8177
Go Veggies, 1290 Sheridan Dr, Tonawanda, NY 14217, 716-219-2281
Faman's Pizza, 2712 Niagara Falls Blvd, Tonawanda, NY 14150, 716-221-6807
Olisi's NY Pizza, 2352 Sheridan Dr, Tonawanda, NY 14150, 716-330-2709
Palumbo's Pizzeria, 1065 Sheridan Dr, Tonawanda, NY 14150, 716-261-3845
A Touch of Italy, 630 Delaware St, Tonawanda, NY 14150, 716-215-2672
Plaza Pizzeria, 260 Main St, Tonawanda, NY 14150, 716-215-2685
Gino's Pizza Place, 351 Fries Rd, Tonawanda, NY 14150, 716-221-3986
DiPaulo's Pizzeria, 571 Brighton Rd, Tonawanda, NY 14150, 716-458-9143
La Hacienda Brighton, 8169, 900 Brighton Rd, Tonawanda, NY 14150, 716-219-5672
I Love New York Pizza, 235 N Greenbush Rd, Troy, NY 12180, 518-380-2570
PizzaRoni, 310 Oakwood Ave, Troy, NY 12182, 518-862-8269
Amante Pizza, 2304 15th St, Troy, NY 12180, 518-730-7971
Dante's Pizzeria, 311 Spring Ave, Troy, NY 12180, 518-313-3635
Carol's Place, 536 Pawling Ave, Troy, NY 12180, 518-659-0012
DeFazio's Pizzeria, 266 4th St, Troy, NY 12180, 518-659-0116
Bacchus Wood-Fired, 33 2nd St, Troy, NY 12180, 518-375-1635
La Casa De Pizzeria, 98 3rd St, Troy, NY 12180, 518-768-9187
Kennedy Fried Chicken & Pizza, 908 River St, Troy, NY 12180, 518-203-3970
Hoosick Pizza, 187 Hoosick St, Troy, NY 12180, 518-501-0773
Mamma Assunta Ristorante, 20 Columbus Ave, Tuckahoe, NY 10707, 914-290-4259
Roma Restaurant, 29 Columbus Ave, Tuckahoe, NY 10707, 914-935-7713
Villaggio Pizzeria, 66 Main St, Tuckahoe, NY 10707, 914-825-4161
Presto Pizza, 1142 Front St, Uniondale, NY 11553, 516-874-0005
Napolini Express, 323 Oak St, Uniondale, NY 11553, 516-260-4264
Gino's Pizza, 428 Uniondale Ave, Uniondale, NY 11553, 516-272-4261
The Pizza Box, 933 South St, Utica, NY 13501, 315-860-0377
Swifty's Restaurant & Pub, 257 Genesee St, Utica, NY 13501, 315-860-0189
Rosso-Verde, 652 Eagle St, Utica, NY 13501, 315-797-1111
North End Pizza & Tap, 50 Auert Ave, Utica, NY 13502, 315-533-4245
Jonny's Pizza, 100 Genesee St, Utica, NY 13502, 315-860-0640
Pizza Classic, 180 Genesee St, Utica, NY 13502, 315-381-1275
Babe's, 80 N Genesee St, Utica, NY 13502, 315-864-5941
Parkway Pizza, 1250 Culver Ave, Utica, NY 13501, 315-825-0215
Pie Squared, 1428 Sunset Ave, Utica, NY 13502, 315-897-5304
Lukins Brick Oven Pizza, 640 Varick St, Utica, NY 13502, 315-864-5323
John Anthony's of Valley Stream, 1056 Franklin Ave, Valley Stream, NY 11580, 516-344-8594
Genovese Pizzeria, 20 Central Ct, Valley Stream, NY 11580, 516-726-1264
Mamma Gina's Pizza, 104 E Merrick Rd, Valley Stream, NY 11580, 516-568-1333
Sicilia D'Oro IV, 211 W Merrick Rd, Valley Stream, NY 11580, 516-494-4364
Mia's Restaurant, 31 Rockaway Ave, Valley Stream, NY 11580, 516-595-0507
